,CID,DATE,STATUS,N_CR_ABM,N_CR_BRCH,N_CR_CHQ,N_CR_EFT,N_CR_MOBILE,N_CR_ONLINE,N_CR_OTHER,N_CR_PE,N_CR_POS,N_DB_ABM,N_DB_BRCH,N_DB_CHQ,N_DB_EFT,N_DB_MOBILE,N_DB_ONLINE,N_DB_OTHER,N_DB_PE,N_DB_POS,V_CR_ABM,V_CR_BRCH,V_CR_CHQ,V_CR_EFT,V_CR_MOBILE,V_CR_ONLINE,V_CR_OTHER,V_CR_PE,V_CR_POS,V_DB_ABM,V_DB_BRCH,V_DB_CHQ,V_DB_EFT,V_DB_MOBILE,V_DB_ONLINE,V_DB_OTHER,V_DB_PE,V_DB_POS
0,129670,1461996000.0,0,0,4,0,3,0,0,0,1,0,0,2,0,4,0,0,2,1,4,0.0,891.99,0,506.14,0.0,0.0,0.0,435.42,0.0,0.0,91.99,0.0,287.27,0.0,0.0,25.0,435.42,176.69
1,129670,1464674400.0,0,0,2,0,3,0,0,0,1,0,0,1,0,4,0,0,2,1,1,0.0,253.0,0,506.14,0.0,0.0,0.0,435.42,0.0,0.0,140.0,0.0,287.27,0.0,0.0,50.0,435.42,34.57
2,129670,1467266400.0,0,1,2,0,3,0,0,0,1,0,3,1,0,4,0,0,1,1,8,200.0,520.0,0,506.14,0.0,0.0,0.0,435.42,0.0,304.25,120.0,0.0,287.27,0.0,0.0,100.0,435.42,288.99
3,129670,1469944800.0,0,1,1,0,3,0,0,0,1,0,8,0,0,4,0,0,2,1,9,200.0,700.0,0,507.21,0.0,0.0,0.0,435.42,0.0,356.25,0.0,0.0,287.27,0.0,0.0,130.0,435.42,177.77
4,129670,1472623200.0,0,1,2,0,3,0,0,0,1,0,6,1,0,4,0,0,1,1,4,100.0,952.57,0,507.21,0.0,0.0,0.0,435.42,0.0,291.25,6.45,0.0,287.27,0.0,0.0,100.0,435.42,99.77
5,129670,1475215200.0,0,0,4,0,3,0,0,0,1,0,8,0,0,4,0,0,3,1,0,0.0,1700.0,0,507.21,0.0,0.0,0.0,435.42,0.0,515.0,0.0,0.0,287.27,0.0,0.0,230.0,435.42,0.0
6,129670,1477893600.0,0,0,2,0,4,0,0,0,1,0,0,0,0,4,0,0,2,1,9,0.0,509.88,0,560.63,0.0,0.0,0.0,435.42,0.0,0.0,0.0,0.0,305.06,0.0,0.0,180.0,435.42,279.78
7,129670,1480489200.0,0,0,2,0,5,0,0,0,1,0,0,2,0,4,0,0,3,1,8,0.0,500.0,0,949.63,0.0,0.0,0.0,435.42,0.0,0.0,100.0,0.0,305.06,0.0,0.0,352.0,435.42,197.26
8,129670,1483167600.0,0,0,2,0,3,0,0,0,1,0,2,1,0,4,0,0,0,1,2,0.0,500.0,0,510.63,0.0,0.0,0.0,435.42,0.0,103.5,100.0,0.0,305.06,0.0,0.0,0.0,435.42,59.13
9,129670,1485846000.0,0,0,2,0,3,0,0,0,1,0,0,0,0,4,0,0,1,1,0,0.0,450.0,0,510.63,0.0,0.0,0.0,435.42,0.0,0.0,0.0,0.0,305.06,0.0,0.0,100.0,435.42,0.0
10,129670,1488265200.0,0,0,2,0,3,0,0,0,1,0,4,1,0,4,0,0,2,1,1,0.0,400.0,0,510.63,0.0,0.0,0.0,435.42,0.0,309.5,100.0,0.0,305.06,0.0,0.0,155.0,435.42,36.97
11,129670,1490940000.0,0,0,5,0,3,0,0,0,1,0,4,0,0,4,0,0,1,1,3,0.0,1910.0,0,500.63,0.0,0.0,0.0,435.42,0.0,308.0,0.0,0.0,305.06,0.0,0.0,100.0,435.42,137.05
12,129670,1493532000.0,0,0,3,0,3,0,0,0,1,0,12,2,0,4,0,0,3,1,1,0.0,685.98,0,490.63,0.0,0.0,0.0,435.42,0.0,828.5,235.0,0.0,305.06,0.0,0.0,150.0,435.42,32.0
13,129670,1496210400.0,0,1,4,0,3,0,0,0,1,0,8,0,0,4,0,0,2,1,1,500.0,1050.0,0,490.63,0.0,0.0,0.0,435.42,0.0,756.25,0.0,0.0,305.06,0.0,0.0,130.0,435.42,28.0
14,129670,1498802400.0,0,0,2,0,3,0,0,0,1,0,0,0,0,4,0,0,2,1,2,0.0,530.0,0,490.63,0.0,0.0,0.0,435.42,0.0,0.0,0.0,0.0,305.06,0.0,0.0,260.0,435.42,35.53
15,129670,1501480800.0,0,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0.0,0.0,0,490.77,0.0,0.0,0.0,435.42,0.0,0.0,0.0,0.0,305.06,0.0,0.0,0.0,435.42,0.0
16,129670,1504159200.0,0,0,3,0,3,0,0,0,1,0,2,0,0,4,0,0,1,1,1,0.0,560.0,0,490.77,0.0,0.0,0.0,435.42,0.0,44.75,0.0,0.0,305.06,0.0,0.0,100.0,435.42,10.74
17,129670,1506751200.0,0,0,2,0,3,0,0,0,1,0,5,0,0,4,0,0,1,1,1,0.0,480.0,0,490.21,0.0,0.0,0.0,435.42,0.0,508.0,0.0,0.0,305.03,0.0,0.0,75.0,435.42,16.78
18,129670,1509429600.0,0,0,3,0,3,0,0,0,1,0,0,0,0,4,0,0,2,1,3,0.0,560.0,0,494.59,0.0,0.0,0.0,435.42,0.0,0.0,0.0,0.0,306.3,0.0,0.0,100.0,435.42,37.49
19,129670,1512025200.0,0,0,3,0,3,0,0,0,1,0,0,0,0,4,0,0,1,1,1,0.0,640.0,0,494.59,0.0,0.0,0.0,435.42,0.0,0.0,0.0,0.0,306.3,0.0,0.0,55.0,435.42,24.26
20,129670,1514703600.0,0,1,2,0,3,0,0,0,1,0,1,0,0,4,0,0,3,1,5,100.0,240.0,0,494.59,0.0,0.0,0.0,435.42,0.0,100.0,0.0,0.0,306.3,0.0,0.0,200.0,435.42,181.11
21,129670,1517382000.0,0,0,2,0,4,0,0,0,1,0,4,0,0,4,0,0,3,1,1,0.0,240.0,0,607.59,0.0,0.0,0.0,34.0,0.0,108.0,0.0,0.0,306.3,0.0,0.0,125.0,34.0,20.0
22,129670,1519801200.0,0,0,1,0,3,0,0,0,1,0,2,0,0,4,0,0,1,1,1,0.0,150.0,0,494.59,0.0,0.0,0.0,435.42,0.0,104.75,0.0,0.0,306.3,0.0,0.0,75.0,435.42,13.65
23,129670,1522476000.0,0,1,3,0,3,0,0,0,1,0,6,0,0,4,0,0,3,1,2,605.0,960.0,0,494.59,0.0,0.0,0.0,435.42,0.0,569.25,0.0,0.0,306.3,0.0,0.0,340.0,435.42,39.13
